ID,ideology,leadership,name,party,description,introduced_bills_116,cosponsored_bills_116,unique_cosponsors_116,total_cosponsors_116
400644,0.5976529080964827,0.6104415330733662,McHenry,Republican,rank-and-file Republican,1,25,0,0
412568,0.7517035330104206,0.5292925799545967,Mullin,Republican,rank-and-file Republican,5,87,26,31
400297,0.5783235559833271,0.5543689287385707,Nunes,Republican,rank-and-file Republican,1,28,0,0
412302,0.9518623194206143,0.7312710621284113,Olson,Republican,conservative Republican leader,7,111,69,75
412443,0.8634753228000694,0.5,Palazzo,Republican,conservative Republican,2,73,9,9
400308,0.2135852189063919,0.7281454106608234,Pallone,Democrat,rank-and-file Democrat,14,228,215,447
412659,0.23914526456541055,0.4037787833792807,Plaskett,Democrat,rank-and-file Democrat,16,86,47,62
412664,0.5420709883203855,0.06770035093121657,Amata,Republican,centrist Republican follower ,4,91,2,4
412572,0.6884367279389997,0.4896298936210839,Rice [SC7],Republican,rank-and-file Republican,8,43,25,28
412394,0.6385310766511638,0.4020966983048525,Roby,Republican,rank-and-file Republican,1,31,1,1
400340,0.5872340377330404,0.18681357615298458,Rogers [KY5],Republican,moderate Republican follower,1,34,0,0
400341,0.7385650583617867,0.345460475327128,Rogers [AL3],Republican,rank-and-file Republican,7,52,53,53
412641,0.9570906096852742,0.33744513884883576,Rouzer,Republican,conservative Republican,6,99,7,7
412399,0.7541277573460737,0.3848328990769383,Schweikert,Republican,rank-and-file Republican,4,99,11,11
412417,0.8605731765940597,0.47529863740582207,Scott [GA8],Republican,conservative Republican,6,69,59,75
400373,0.6581919420675221,0.5124891336822841,Shimkus,Republican,rank-and-file Republican,1,63,5,5
400376,0.608628904327001,0.46486785524114244,Simpson,Republican,rank-and-file Republican,6,45,2,5
412217,0.67603246534742,0.5877278281093352,Smith [NE3],Republican,rank-and-file Republican,6,77,19,25
400380,0.5967073071409104,0.9894122868418594,Smith [NJ4],Republican,moderate Republican leader,28,113,353,732
412596,0.7801971549224058,0.7381078854000463,Smith [MO8],Republican,moderate Republican leader,6,68,146,259
412648,0.7216029180631435,0.7897905642261721,Stefanik,Republican,moderate Republican leader,6,242,110,157
412581,0.7702322523094924,0.6896250566594374,Stewart,Republican,moderate Republican leader,2,77,0,0
412461,0.8141076474085809,0.5704485671814675,Stivers,Republican,rank-and-file Republican,4,173,36,38
412405,0.8441066688341804,0.6097299144930519,Tipton,Republican,conservative Republican,18,123,75,103
400411,0.6940808654633026,0.5516376681046513,Turner,Republican,rank-and-file Republican,9,139,23,26
412579,0.2686672743546947,0.5143856211226023,Veasey,Democrat,rank-and-file Democrat,5,149,45,50
412580,0.3792417551178435,0.13241404888775257,Vela,Democrat,centrist Democratic follower,4,155,13,17
412213,0.8097083592395153,0.7264443704088323,Walberg,Republican,moderate Republican leader,13,82,108,123
